Name,Rest Wavelength (micron),Strength (10^-17 W/m^2),S_err+,S_err-,Continuum (10^-17 W/m^2/um),C_err+,C_err-,Eqw (micron),E_err+,E_err-
EW(12.7)/EW(11.3),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23405458564368442,0.010303257755381684,0.007639177816833126
EW(6.2)/EW(11.3),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2572176662060095,0.010078237064214263,0.011451113426396764
EW(7.7)/EW(11.3),0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6020147485475298,0.05604133967422653,0.0699810121181319
EW(7.7)/EW(8.6),0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.898743354805114,0.21304243259220446,0.19458460019801294
EW(8.6)/EW(11.3),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3280850820416972,0.011434654216712414,0.013782418252942574
cont(12.7)/cont(11.3),0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.428584312311532,0.1867811802512911,0.18562299862098008
cont(6.2)/cont(11.3),0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8824122968328965,0.16658319044665948,0.15386241930183342
cont(7.7)/cont(11.3),0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5122048375984765,0.20861045024881175,0.1979696520123424
cont(7.7)/cont(8.6),0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8279806436252906,0.06003437698429703,0.0616987057351821
cont(8.6)/cont(11.3),0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3034881079997542,0.045306017599504145,0.03798067020463192
PAH(12.7)/PAH(11.3),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9957640905004695,0.03465685997293966,0.030150580695175067
PAH(6.2)/PAH(11.3),0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.211826200685565,0.022222491229008545,0.02318057407335883
PAH(7.7)/PAH(11.3),0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.74601522240005,0.12454885812138805,0.13946845352537096
PAH(7.7)/PAH(8.6),0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.638439713227804,0.4100400795376711,0.3599451963114344
PAH(8.6)/PAH(11.3),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5797302971060136,0.016247619612068775,0.021463772680372473
SF EW(12.7)/EW(11.3),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.731201513070705,0.028220951227607816,0.026984170022472664
SF EW(6.2)/EW(11.3),0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.432240311926,0.09928847123381113,0.14408020037634017
SF EW(7.7)/EW(11.3),0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.547637318423407,0.33584463236570805,1.3973006686083362
SF EW(7.7)/EW(8.6),0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.32759629275901,0.5010090592209089,0.5259735099398046
SF EW(8.6)/EW(11.3),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.867747452486544,0.03324259303473154,0.059635197888962654
Sil Depth 10,9.7,0.0,0.0,0.0,0.0,0.0,0.0,-3.124721010025442,0.02025378006737588,0.020246534066363786
Nuclear Fraction,0,0.0,0.0,0.0,0.0,0.0,0.0,0.8524256184207268,0.0040129345693915575,0.005870254898669658
PAHtoSF Ratio,0,0.0,0.0,0.0,0.0,0.0,0.0,3.8273875167096305,0.1450634653407783,0.19796132705717895
