Name,Rest Wavelength (micron),Strength (10^-17 W/m^2),S_err+,S_err-,Continuum (10^-17 W/m^2/um),C_err+,C_err-,Eqw (micron),E_err+,E_err-
PAH,14.19,0.1306032265058294,0.08706274697663147,0.07842611406657232,0.22470031742024899,0.008144011379855404,0.008473729346482384,0.5795267214281101,0.4142141047263582,0.35199996234842235
EW(12.7)/EW(11.3),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34112285497115324,0.02537995356182221,0.027169960324315456
EW(6.2)/EW(11.3),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5621933272286863,0.037581041887820854,0.042103778417738935
EW(7.7)/EW(11.3),0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9423764201619376,0.13512255845580712,0.1541909920961042
EW(7.7)/EW(8.6),0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6508700295277183,0.2760773390572675,0.33057389365880896
EW(8.6)/EW(11.3),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5325968196433637,0.03632791786014877,0.03473885054056025
cont(12.7)/cont(11.3),0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7311358782372197,0.07419802388376451,0.07615433423073026
cont(6.2)/cont(11.3),0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3649715359589347,0.14796066422290055,0.1532969955950505
cont(7.7)/cont(11.3),0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7697355122732636,0.19711449369896927,0.18701766801288144
cont(7.7)/cont(8.6),0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6412868942436503,0.08434758496805528,0.10202422772154285
cont(8.6)/cont(11.3),0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6783582424670365,0.07343083775897785,0.07128650580759022
PAH(12.7)/PAH(11.3),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5125613103344151,0.029162598030157916,0.031576810326028326
PAH(6.2)/PAH(11.3),0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2631690502058968,0.02811792182338002,0.028896030206246204
PAH(7.7)/PAH(11.3),0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.577220628172331,0.11166917694581358,0.11567696991689669
PAH(7.7)/PAH(8.6),0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.363922855551083,0.2808934329196848,0.36031024331016503
PAH(8.6)/PAH(11.3),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.853019886950946,0.04820616746345996,0.04204591539063429
SF EW(12.7)/EW(11.3),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5469011963962448,0.02925682878856084,0.033665148586156546
SF EW(6.2)/EW(11.3),0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0399509588159943,0.04003686520362115,0.05153252597845692
SF EW(7.7)/EW(11.3),0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.500268495055411,0.15859930276779766,0.1489057361495667
SF EW(7.7)/EW(8.6),0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.167363245104703,0.2741411769984934,0.3666556967623995
SF EW(8.6)/EW(11.3),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.674769351389402,0.04037101978361568,0.03917780796979087
Sil Depth 10,9.7,0.0,0.0,0.0,0.0,0.0,0.0,-0.9317218062514845,0.06631481375298787,0.07155051526916834
Nuclear Fraction,0,0.0,0.0,0.0,0.0,0.0,0.0,0.38481347336662486,0.03708158851909327,0.033265940985366727
PAHtoSF Ratio,0,0.0,0.0,0.0,0.0,0.0,0.0,2.848657233646735,0.17919210848288314,0.16749346936508402
